post_title,post_excerpt,post_status,post_parent,menu_order,post_date,discount_type,coupon_amount,free_shipping,expiry_date,minimum_amount,maximum_amount,individual_use,exclude_sale_items,product_ids,exclude_product_ids,product_categories,exclude_product_categories,customer_email,usage_limit,usage_limit_per_user,limit_usage_to_x_items,sc_coupon_validity,validity_suffix,auto_generate_coupon,coupon_title_prefix,coupon_title_suffix,is_pick_price_of_product,sc_disable_email_restriction,sc_is_visible_storewide
"s1216585c30dfe0598","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe05e9","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe063a","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0690","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe06e3","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0735","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0786","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe07d7","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0828","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0879","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe08cc","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0942","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe09a5","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0a08","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0a60","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0ab1","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0b03","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0b62","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0bc0","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0c11","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0c69","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0cbb","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0d0e","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0d60","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0dbf","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0e0f","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0e6b","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0ebc","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0f0c","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0f69","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
"s1216585c30dfe0fd1","","publish","","","","Store Credit / Gift Certificate","50","no","","","","no","no","","","","","","1","","","","days","","S1216","","no","no","no"
